At time 4.500000, Node[1] sending NACK with number[0], loss [No]
At time 5.000000, Node[1] sending ACK with number[5], loss [No]
At time 5.500000, Node[1] sending ACK with number[5], loss [No]
At time 6.000000, Node[1] sending ACK with number[5], loss [No]
At time 6.500000, Node[1] sending ACK with number[5], loss [No]
At time 7.500000, Node[1] sending ACK with number[5], loss [No]
At time 8.000000, Node[1] sending ACK with number[5], loss [No]
At time 8.500000, Node[1] sending ACK with number[5], loss [No]
At time 9.000000, Node[1] sending ACK with number[5], loss [No]
At time 18.000000, Node[1] sending ACK with number[5], loss [No]
At time 18.500000, Node[1] sending ACK with number[5], loss [No]
At time 19.000000, Node[1] sending ACK with number[5], loss [No]
At time 19.500000, Node[1] sending ACK with number[5], loss [No]
At time 28.500000, Node[1] sending ACK with number[5], loss [No]
At time 29.000000, Node[1] sending ACK with number[5], loss [Yes]
At time 29.500000, Node[1] sending ACK with number[5], loss [No]
At time 30.000000, Node[1] sending ACK with number[5], loss [No]
